Share of renewables in electricity production (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (points) ,2000 - 2018 (points) 
World,"19,76","19,69","19,61","20,24","19,98","20,32","19,99","19,87","19,53","19,15","18,82","18,35","18,27","17,85","18,26","18,40","18,53","18,25","18,91","19,67","19,89","20,22","21,17","21,95","22,63","23,05","24,11","24,83","25,60","0,8","6,8"
OECD,"17,74","17,49","17,40","17,97","16,97","17,61","17,58","17,39","16,65","16,38","16,19","15,40","15,71","15,51","15,74","15,75","16,15","15,96","16,84","17,90","18,13","19,45","20,40","21,59","22,42","23,21","24,17","25,32","26,14","0,8","9,9"
G7,"15,15","15,13","14,75","15,18","14,51","15,11","15,53","15,18","14,16","14,11","13,59","12,79","13,63","13,71","13,74","13,55","14,16","13,85","14,66","15,88","15,70","17,60","18,17","19,42","20,23","20,96","22,16","24,01","24,63","0,6","11,0"
BRICS,"24,22","23,96","24,10","24,72","25,70","25,58","24,10","24,43","25,05","23,86","23,34","23,31","22,31","20,96","21,86","21,88","21,25","21,00","21,69","22,13","22,31","21,22","22,63","22,84","23,88","24,50","25,72","26,00","26,74","0,7","3,4"
Europe,"18,08","18,21","19,13","19,70","19,64","19,66","18,74","19,17","19,63","19,76","20,13","19,86","18,89","17,97","19,27","19,74","19,82","20,51","21,82","23,58","25,21","25,22","28,37","30,91","32,28","33,61","33,97","33,81","36,40","2,6","16,3"
European Union,"12,63","12,95","13,64","13,90","14,15","13,94","13,56","13,90","14,35","14,40","14,78","15,29","13,89","13,65","14,79","14,91","15,45","16,24","17,56","19,47","21,11","21,42","24,23","27,19","29,18","29,85","30,13","30,41","32,72","2,3","17,9"
Belgium,"1,67","1,79","1,98","1,80","1,99","2,10","2,00","1,98","2,24","2,36","2,72","2,85","2,76","2,67","3,25","3,93","4,93","5,38","6,79","7,53","8,25","10,64","14,18","15,57","18,42","22,27","17,88","18,81","23,30","4,5","20,6"
Czech Republic,"2,32","2,18","2,76","2,98","3,57","4,40","4,19","3,98","3,79","4,47","3,86","4,01","4,39","2,75","3,89","4,58","5,01","4,36","4,88","6,34","7,56","9,09","10,06","11,75","11,87","12,75","12,71","12,41","11,90","-0,5","8,0"
France,"14,10","13,97","16,12","14,79","17,45","15,89","14,16","13,92","13,45","15,21","13,74","14,92","12,46","12,07","12,07","10,62","11,79","12,56","13,69","13,93","14,58","12,30","15,57","17,78","17,30","16,55","18,36","17,21","19,94","2,7","6,2"
Germany,"3,90","3,85","4,38","4,62","5,18","5,66","5,62","4,82","5,20","5,84","6,89","7,23","8,39","8,34","10,20","11,13","12,26","14,87","15,50","16,87","17,57","21,14","23,75","24,76","26,82","29,88","29,88","34,22","36,00","1,8","29,1"
Italy,"17,71","22,05","21,81","21,67","22,14","18,88","20,97","20,34","20,25","21,73","20,81","22,03","19,65","18,54","20,25","18,21","18,17","17,01","19,98","25,14","26,57","28,06","31,48","39,31","43,74","38,99","37,91","35,72","39,87","4,2","19,1"
Netherlands,"1,12","1,26","1,29","1,43","1,58","1,73","2,13","2,33","2,56","2,89","3,32","3,53","4,14","4,09","5,24","7,45","8,15","7,21","8,86","9,53","9,39","10,81","12,11","11,98","11,32","12,44","12,79","14,97","15,72","0,8","12,4"
Poland,"2,47","2,59","2,77","2,72","2,83","2,82","2,82","2,79","3,19","3,15","2,99","3,21","3,05","2,55","3,12","3,46","3,26","3,78","4,64","6,11","7,27","8,30","10,67","10,71","12,82","14,12","13,98","14,45","12,98","-1,5","10,0"
Portugal,"35,08","33,45","19,83","30,94","37,24","28,56","46,02","41,81","36,49","20,78","30,30","34,58","22,10","38,49","27,92","18,57","33,01","35,08","32,93","37,88","53,16","47,06","43,78","59,24","61,37","48,67","55,49","40,99","52,18","11,2","21,9"
Romania,"17,74","25,68","21,59","23,02","23,66","28,17","25,68","30,66","35,31","36,07","28,46","27,70","29,32","24,05","29,23","34,02","29,28","25,95","26,52","27,28","33,88","26,57","25,74","34,81","42,03","40,09","42,21","38,35","41,27","2,9","12,8"
Spain,"17,61","18,52","13,62","16,89","18,54","15,48","24,27","20,07","19,83","14,35","16,95","22,15","15,61","22,70","19,12","15,95","18,71","20,16","20,69","26,08","33,49","30,57","30,44","40,47","40,92","35,71","39,34","32,82","38,62","5,8","21,7"
Sweden,"51,18","44,46","52,51","53,11","43,17","47,60","38,42","48,29","49,20","48,28","57,26","51,57","48,51","43,41","44,97","51,32","49,65","52,06","54,35","58,46","55,33","55,98","59,10","54,07","55,87","63,29","57,21","57,48","55,27","-2,2","-2,0"
United Kingdom,"2,44","2,12","2,52","2,21","2,58","2,52","2,06","2,40","2,83","3,40","3,36","3,11","3,56","3,35","4,26","4,99","5,53","5,93","6,67","7,68","7,68","10,36","12,15","15,66","19,94","25,42","25,39","30,14","33,98","3,8","30,6"
Norway,"99,79","99,80","99,82","99,80","99,65","99,66","99,50","99,58","99,62","99,56","99,72","99,52","99,58","99,40","99,35","99,47","99,32","99,14","99,41","96,59","95,75","96,58","97,98","97,69","97,67","97,70","97,81","97,81","97,88","0,1","-1,8"
Turkey,"40,37","37,85","39,63","46,18","39,22","41,57","42,94","38,91","38,33","29,98","24,94","19,84","26,25","25,29","30,73","24,54","25,25","19,03","17,35","19,58","26,38","25,33","27,23","28,82","20,89","31,96","32,89","29,37","32,38","3,0","7,4"
CIS,"13,66","14,13","15,03","16,75","18,76","18,57","17,27","17,69","18,58","18,52","18,10","18,61","17,70","16,96","18,40","17,85","17,11","16,87","15,88","17,29","16,50","15,95","15,65","16,97","16,26","15,80","17,02","17,13","17,95","0,8","-0,1"
Kazakhstan,"8,43","8,37","8,30","9,85","13,82","12,50","12,42","12,50","12,50","12,91","14,67","14,21","15,24","13,50","12,04","11,58","10,84","10,67","9,29","8,74","9,71","9,10","8,23","7,51","7,88","8,87","11,24","11,23","17,80","6,6","3,1"
Russia,"15,34","15,69","17,05","18,23","20,10","20,52","18,23","18,89","19,29","19,08","18,85","19,74","18,44","17,25","19,13","18,37","17,65","17,68","16,07","17,80","16,28","15,94","15,68","17,29","16,72","16,01","17,21","16,98","17,18","0,2","-1,7"
Ukraine,"3,59","4,28","3,20","4,89","6,07","5,23","4,83","5,64","9,21","8,43","6,68","7,06","5,65","5,22","6,54","6,74","6,76","5,39","6,14","6,98","7,09","5,75","5,91","8,12","6,02","5,30","6,61","7,76","8,81","1,1","2,1"
Uzbekistan,"11,80","11,13","12,34","14,97","14,97","13,04","14,37","12,54","12,54","12,55","12,54","12,55","12,55","15,43","18,02","17,54","17,99","13,07","23,00","18,68","20,98","19,54","21,35","21,33","21,35","20,65","20,28","19,81","19,13","-0,7","6,6"
America,"25,21","25,02","24,69","25,31","24,82","25,67","26,58","26,19","24,48","24,14","23,59","22,06","23,42","23,52","23,43","23,82","24,50","24,13","24,74","26,19","25,57","27,89","27,57","27,84","28,03","27,99","29,79","32,00","32,12","0,1","8,5"
North America,"18,53","18,06","17,47","17,85","17,22","18,10","19,07","18,41","16,64","16,30","15,55","14,12","15,75","15,73","15,40","15,55","15,98","15,40","16,10","17,40","16,77","19,03","18,99","19,78","20,00","20,32","21,91","24,02","23,78","-0,2","8,2"
Canada,"62,39","61,42","61,69","61,73","60,41","61,01","63,11","62,36","60,41","61,19","60,61","58,04","59,89","58,92","58,45","60,04","59,56","60,29","61,47","62,83","61,36","62,60","63,51","63,87","63,44","63,51","64,98","66,18","65,86","-0,3","5,3"
United States,"11,96","11,33","10,48","11,00","10,31","11,39","12,20","11,59","10,22","9,63","8,81","7,42","9,20","9,49","9,22","9,12","9,79","8,91","9,53","10,78","10,61","12,69","12,41","13,03","13,38","13,63","15,26","17,40","17,48","0,1","8,7"
Latin America,"66,07","66,14","66,39","67,77","66,67","66,40","66,13","65,07","62,73","61,79","61,70","58,33","58,89","57,79","58,02","58,93","59,31","58,70","57,85","58,38","57,48","58,43","55,80","53,94","53,83","52,19","54,39","56,58","58,49","1,9","-3,2"
Argentina,"35,78","30,74","35,13","39,22","42,87","40,35","33,47","39,53","36,52","27,54","33,21","41,84","43,59","37,97","31,69","33,69","37,25","30,06","26,54","29,18","28,77","32,48","29,49","31,68","31,79","28,38","27,22","29,92","30,74","0,8","-2,5"
Brazil,"94,50","94,63","94,42","95,25","95,41","94,16","93,56","92,98","92,92","90,04","89,49","84,29","85,74","87,16","86,03","87,12","86,75","88,21","84,27","89,00","84,72","87,12","82,45","76,69","73,08","73,97","80,35","79,15","82,46","3,3","-7,0"
Chile,"53,84","70,97","82,69","81,66","74,27","72,41","60,45","62,13","48,17","38,03","48,55","54,26","55,45","50,16","46,90","53,88","55,25","44,16","45,75","48,83","40,20","39,60","36,45","35,67","42,89","43,60","43,27","44,40","46,84","2,4","-1,7"
Colombia,"76,38","75,68","68,67","73,25","78,49","76,40","82,99","71,64","69,75","79,86","75,52","74,34","76,50","78,79","81,65","80,17","80,60","81,53","84,01","72,88","72,12","83,47","79,55","69,42","69,30","64,02","65,90","79,38","75,73","-3,7","0,2"
Mexico,"24,69","22,39","25,66","25,40","19,02","23,65","24,66","19,96","17,59","20,91","19,80","17,11","15,06","12,13","14,45","15,20","15,33","14,09","17,54","12,95","16,60","14,89","13,79","13,30","17,54","15,28","15,28","15,94","16,74","0,8","-3,1"
Venezuela,"62,34","70,33","70,09","68,43","72,01","70,05","71,24","73,36","71,60","75,16","73,75","67,07","64,82","65,84","71,10","73,28","73,90","72,72","72,79","71,89","67,49","70,93","67,41","67,83","69,12","61,03","60,08","66,05","70,77","4,7","-3,0"
Asia,"17,61","16,81","15,67","15,98","15,01","15,37","14,22","14,17","14,64","13,78","13,34","14,22","13,40","13,11","13,58","13,60","13,87","13,55","14,87","15,00","15,65","15,16","16,88","17,54","18,93","19,77","20,98","21,59","22,36","0,8","9,0"
China,"20,41","18,47","17,58","18,13","18,09","19,21","17,55","17,51","18,06","16,68","16,64","18,96","17,62","15,04","16,22","16,18","15,59","15,26","17,74","17,86","18,83","16,95","20,12","20,45","22,79","24,13","25,26","25,70","26,25","0,6","9,6"
India,"24,49","22,81","20,75","19,56","21,22","17,26","15,77","16,02","16,70","15,26","13,59","13,21","12,06","13,47","14,48","16,62","17,54","17,86","16,66","15,67","16,13","17,17","15,85","17,41","16,29","15,56","16,20","17,06","18,51","1,4","4,9"
Indonesia,"20,92","20,56","23,84","19,78","15,66","16,46","15,53","10,34","15,77","14,12","15,96","17,47","14,95","13,64","13,61","13,61","12,26","12,90","13,32","13,23","15,85","11,99","11,24","12,27","11,48","10,65","12,81","13,28","12,46","-0,8","-3,5"
Japan,"12,39","13,14","11,30","12,93","9,10","10,66","10,18","11,09","11,25","10,46","10,34","10,23","9,92","11,29","10,97","9,36","10,38","9,06","9,39","9,77","10,27","11,15","10,67","11,37","12,81","14,60","15,25","16,17","17,50","1,3","7,2"
Malaysia,"17,33","16,60","14,87","14,03","16,69","13,69","10,09","6,69","8,00","11,54","10,06","9,93","7,14","6,44","7,09","6,28","7,17","6,66","7,63","7,01","5,99","6,71","7,38","8,58","9,71","9,96","13,46","14,93","14,46","-0,5","4,4"
South Korea,"6,04","4,40","3,86","4,15","2,51","3,12","2,73","2,44","2,83","2,60","1,97","1,95","1,66","2,06","1,68","1,43","1,43","1,40","1,54","1,65","1,80","2,05","2,02","2,38","2,47","2,59","3,50","4,13","4,42","0,3","2,5"
Taiwan,"9,08","5,56","7,92","5,83","7,13","6,67","6,37","6,66","6,86","5,70","5,37","5,52","3,84","4,04","3,86","4,29","4,32","4,52","4,36","4,27","4,20","4,08","4,81","4,95","4,44","4,67","5,42","5,19","5,21","0,0","-0,2"
Thailand,"11,26","9,14","7,42","5,84","6,34","8,74","9,13","8,09","6,11","4,89","6,81","6,64","7,48","7,22","5,82","5,54","6,92","6,91","6,60","6,90","5,61","8,05","8,28","8,13","8,36","8,39","15,19","17,21","20,20","3,0","13,4"
Pacific,"22,56","22,82","21,39","22,66","23,11","22,97","21,68","20,26","19,75","18,56","18,77","16,86","17,48","17,65","18,45","17,83","18,21","17,70","17,07","17,39","18,61","20,42","20,00","22,43","24,43","23,49","24,77","25,48","28,94","3,5","10,2"
Australia,"10,08","10,76","10,30","10,78","10,35","9,81","9,39","9,76","8,60","8,71","8,54","8,25","7,93","8,53","8,28","8,92","9,34","8,71","8,17","7,52","8,62","10,40","10,53","13,18","14,63","13,34","14,60","15,83","19,60","3,8","11,1"
New Zealand,"80,01","77,19","72,59","77,02","82,05","83,85","79,06","70,09","75,65","69,52","71,50","63,56","69,28","65,79","71,87","64,03","64,26","65,38","64,06","71,54","73,01","75,88","71,70","74,12","79,11","80,01","83,93","81,06","83,07","2,0","11,6"
Africa,"18,40","19,34","18,17","17,41","17,06","17,05","17,03","16,82","17,20","17,90","17,78","18,53","17,91","17,16","17,25","16,96","16,96","16,43","16,42","16,87","17,44","17,09","16,58","17,00","17,95","17,61","17,05","17,51","17,78","0,3","0,0"
Algeria,"0,78","1,58","1,02","1,71","0,78","0,92","0,62","0,33","0,85","0,76","0,20","0,24","0,19","0,83","0,75","1,53","0,58","0,57","0,66","0,75","0,36","0,90","1,00","0,51","0,36","0,29","0,43","0,58","0,65","0,1","0,5"
Egypt,"23,50","22,35","21,24","21,94","22,25","21,95","20,96","20,52","19,41","21,44","17,70","18,43","14,65","14,06","13,00","12,14","11,73","13,06","11,90","10,07","10,05","9,33","8,88","8,81","8,87","8,46","8,07","7,96","8,21","0,3","-9,5"
Nigeria,"32,59","41,86","40,85","38,41","35,81","34,68","33,86","34,70","38,22","38,21","38,22","38,22","38,22","36,90","33,40","33,00","27,10","27,10","27,10","22,90","24,40","21,76","19,71","18,44","17,59","18,20","18,08","18,09","16,72","-1,4","-21,5"
South Africa,"1,70","2,25","1,24","0,85","1,43","0,97","1,78","2,30","2,07","1,73","2,01","2,01","2,11","1,69","2,00","1,83","2,41","1,56","1,65","1,78","2,06","2,02","1,75","1,70","2,58","3,55","4,37","4,99","5,29","0,3","3,3"
Middle-East,"4,88","4,56","4,87","4,46","3,46","3,22","3,10","2,84","2,65","1,96","1,71","1,91","2,22","2,80","2,77","4,28","4,23","3,83","1,53","1,63","2,03","2,20","2,28","2,50","2,00","1,80","2,18","1,95","2,11","0,2","0,4"
Iran,"10,29","11,00","13,88","12,89","9,09","8,58","8,13","7,09","6,80","4,44","3,05","3,93","5,75","7,23","6,39","9,08","9,54","8,89","2,42","3,37","4,16","5,12","4,99","5,71","5,20","5,10","5,78","5,00","5,32","0,3","2,3"
Kuwait,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
Saudi Arabia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
United Arab Emirates,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,09","0,26","0,23","0,27","0,27","0,44","0,2",-
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Â© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
