Share of wind and solar in electricity production  (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (points) ,2000 - 2018 (points) 
World,"0,52","0,52","0,54","0,54","0,56","0,55","0,57","0,57","0,58","0,63","0,69","0,73","0,80","0,87","0,98","1,08","1,20","1,36","1,60","1,94","2,21","2,72","3,22","3,83","4,30","4,98","5,64","6,66","7,47","0,8","6,8"
OECD,"0,70","0,70","0,72","0,73","0,74","0,73","0,74","0,75","0,75","0,80","0,86","0,93","1,06","1,20","1,39","1,59","1,78","2,08","2,45","3,01","3,45","4,30","5,06","5,95","6,68","7,61","8,36","9,62","10,40","0,8","9,5"
G7,"0,74","0,74","0,76","0,77","0,79","0,77","0,79","0,79","0,76","0,80","0,83","0,90","1,02","1,14","1,27","1,40","1,64","1,90","2,24","2,75","3,18","4,12","4,90","5,74","6,51","7,48","8,41","9,84","10,64","0,8","9,8"
BRICS,"0,01","0,01","0,01","0,01","0,01","0,03","0,04","0,05","0,05","0,07","0,07","0,09","0,11","0,13","0,15","0,19","0,27","0,33","0,50","0,76","0,97","1,33","1,76","2,36","2,74","3,40","4,29","5,53","6,69","1,2","6,6"
Europe,"0,18","0,18","0,22","0,26","0,28","0,30","0,33","0,42","0,55","0,65","0,88","0,99","1,26","1,54","2,00","2,40","2,63","3,22","3,69","4,43","4,96","6,54","7,85","9,16","10,18","11,71","11,85","13,64","14,66","1,0","13,8"
European Union,"0,18","0,19","0,23","0,27","0,30","0,32","0,35","0,45","0,59","0,68","0,95","1,06","1,36","1,66","2,18","2,64","2,86","3,51","4,05","4,86","5,42","7,20","8,72","10,16","11,32","13,00","13,03","14,98","15,81","0,8","14,9"
Belgium,"0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,02","0,02","0,05","0,07","0,10","0,17","0,26","0,43","0,56","0,80","1,28","1,95","3,86","5,91","7,57","10,33","12,37","9,98","10,81","14,75","3,9","14,7"
Czech Republic,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,03","0,06","0,14","0,31","0,46","1,21","3,04","3,02","2,98","3,11","3,48","3,25","3,30","3,46","0,2","3,5"
France,"0,12","0,11","0,11","0,10","0,11","0,10","0,10","0,10","0,11","0,11","0,10","0,11","0,14","0,16","0,19","0,25","0,46","0,85","1,12","1,64","1,96","2,68","3,56","3,83","4,31","5,21","5,51","6,29","6,84","0,6","6,7"
Germany,"0,01","0,04","0,05","0,13","0,27","0,32","0,38","0,55","0,83","1,00","1,63","1,80","2,73","3,47","4,56","5,10","5,74","7,05","7,37","7,95","8,19","11,55","12,56","13,24","15,22","18,53","18,30","22,69","25,03","2,3","23,4"
Italy,"1,49","1,44","1,67","1,81","1,61","1,58","1,70","1,88","2,00","2,06","2,19","2,34","2,40","2,62","2,72","2,90","3,04","3,40","3,60","4,50","5,69","8,96","12,90","14,80","15,75","15,75","16,16","16,56","16,34","-0,2","14,1"
Netherlands,"0,32","0,28","0,46","0,50","0,57","0,76","0,79","0,83","0,94","0,95","1,21","1,15","1,24","1,62","2,08","2,37","2,95","3,47","4,13","4,18","3,52","4,70","5,18","6,13","6,50","8,01","8,62","11,03","11,72","0,7","10,5"
Poland,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,04","0,08","0,23","0,24","0,31","0,44","0,54","0,72","1,06","1,96","2,93","3,65","4,84","6,62","7,63","8,85","7,73","-1,1","7,7"
Portugal,"0,02","0,02","0,03","0,05","0,16","0,18","0,21","0,26","0,38","0,47","0,57","0,78","1,00","1,26","2,00","3,97","6,15","9,02","13,03","15,78","17,73","18,40","23,16","24,56","24,51","24,05","22,34","22,64","23,37","0,7","22,8"
Romania,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,50","2,23","4,48","8,39","11,90","13,64","12,92","14,41","12,52","-1,9",-
Spain,"0,01","0,01","0,07","0,08","0,11","0,17","0,22","0,40","0,70","1,32","2,11","2,87","3,83","4,65","6,69","8,91","7,93","9,31","11,42","15,11","17,12","17,86","20,71","24,07","23,56","22,57","22,80","23,13","23,26","0,1","21,1"
Sweden,"0,00","0,01","0,02","0,03","0,05","0,07","0,10","0,14","0,20","0,23","0,32","0,30","0,42","0,50","0,56","0,59","0,69","0,96","1,33","1,82","2,36","4,05","4,31","6,45","7,34","10,10","10,01","10,87","10,39","-0,5","10,1"
United Kingdom,"0,00","0,00","0,01","0,07","0,10","0,12","0,14","0,19","0,24","0,23","0,25","0,25","0,33","0,32","0,49","0,73","1,07","1,33","1,84","2,47","2,70","4,40","5,83","8,49","10,65","14,12","14,08","18,21","21,02","2,8","20,8"
Norway,"0,05","0,04","0,04","0,05","0,06","0,04","0,05","0,05","0,06","0,07","0,04","0,08","0,08","0,24","0,26","0,40","0,56","0,69","0,67","0,75","0,71","1,01","1,05","1,40","1,56","1,74","1,41","1,90","2,63","0,7","2,6"
Turkey,"0,14","0,13","0,10","0,11","0,10","0,10","0,09","0,08","0,08","0,09","0,12","0,16","0,15","0,13","0,11","0,14","0,17","0,32","0,54","1,03","1,75","2,41","2,87","3,83","4,46","6,02","8,05","9,38","12,03","2,6","11,9"
CIS,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,03","0,03","0,03","0,04","0,04","0,03","0,04","0,04","0,04","0,07","0,11","0,15","0,18","0,20","0,22","0,27","0,1","0,3"
Kazakhstan,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,17","0,34","0,33","0,50","0,2",-
Russia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,02","0,04","0,04","0,04","0,05","0,05","0,05","0,05","0,05","0,05","0,05","0,04","0,07","0,09","0,10","0,10","0,12","0,0","0,1"
Ukraine,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,03","0,06","0,31","0,62","0,85","0,95","0,88","0,99","1,23","0,2","1,2"
Uzbekistan,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-
America,"0,60","0,60","0,63","0,62","0,60","0,53","0,54","0,51","0,50","0,53","0,52","0,56","0,62","0,67","0,72","0,80","0,96","1,11","1,45","1,90","2,31","2,77","3,28","3,93","4,51","5,11","6,20","7,23","7,96","0,7","7,4"
North America,"0,53","0,53","0,55","0,55","0,54","0,46","0,47","0,45","0,44","0,48","0,46","0,50","0,58","0,62","0,68","0,77","0,98","1,15","1,59","2,15","2,66","3,26","3,84","4,64","5,19","5,66","6,77","7,87","8,45","0,6","8,0"
Canada,"0,01","0,01","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,04","0,05","0,07","0,08","0,15","0,17","0,26","0,41","0,49","0,61","1,43","1,99","2,10","2,36","3,33","4,07","4,41","5,09","5,06","5,30","0,2","5,2"
United States,"0,61","0,61","0,63","0,64","0,63","0,53","0,55","0,52","0,50","0,54","0,52","0,56","0,66","0,69","0,75","0,85","1,06","1,25","1,73","2,25","2,75","3,43","4,06","4,84","5,36","5,86","7,03","8,31","8,93","0,6","8,4"
Latin America,"0,98","0,99","1,08","1,03","0,94","0,90","0,87","0,80","0,78","0,78","0,82","0,83","0,82","0,87","0,89","0,91","0,86","0,95","0,91","0,98","1,06","1,09","1,41","1,62","2,31","3,35","4,42","5,25","6,42","1,2","5,6"
Argentina,"0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,04","0,04","0,04","0,05","0,09","0,08","0,07","0,07","0,07","0,06","0,03","0,03","0,02","0,02","0,28","0,34","0,46","0,42","0,39","0,40","0,96","0,6","0,9"
Brazil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,02","0,02","0,02","0,06","0,14","0,18","0,27","0,42","0,51","0,91","1,15","2,07","3,73","5,80","7,35","8,75","1,4","8,8"
Chile,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,02","0,01","0,01","0,01","0,01","0,02","0,06","0,29","0,73","0,51","0,59","0,77","2,72","4,48","6,42","9,47","11,07","1,6",-
Colombia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,10","0,12","0,09","0,10","0,10","0,07","0,07","0,09","0,08","0,10","0,09","0,07","0,00","0,05","0,1",-
Mexico,"4,43","4,23","4,37","4,34","3,81","3,73","3,64","3,27","3,12","2,95","2,88","2,61","2,49","2,67","2,78","2,92","2,62","2,89","2,73","2,75","2,86","2,71","3,12","3,48","4,19","4,93","5,24","5,39","6,28","0,9","3,4"
Venezuela,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-
Asia,"1,25","1,21","1,14","1,08","1,10","1,13","1,13","1,10","1,03","1,06","1,08","1,06","1,01","0,99","0,95","0,94","0,98","0,98","1,12","1,35","1,50","1,82","2,18","2,77","3,15","3,75","4,57","5,71","6,79","1,1","5,7"
China,"0,01","0,01","0,02","0,02","0,02","0,02","0,02","0,03","0,04","0,05","0,06","0,06","0,06","0,06","0,07","0,09","0,14","0,18","0,44","0,74","1,08","1,55","2,05","2,88","3,27","3,94","5,03","6,47","7,75","1,3","7,7"
India,"0,01","0,01","0,03","0,03","0,05","0,13","0,21","0,22","0,22","0,28","0,30","0,38","0,44","0,55","0,66","0,87","1,26","1,44","1,64","2,06","2,02","2,37","2,88","3,13","3,34","3,80","3,99","5,17","6,40","1,2","6,1"
Indonesia,"3,44","2,81","2,61","2,40","3,77","3,73","3,47","3,49","3,35","3,18","5,22","5,96","5,76","5,57","5,54","5,18","5,00","4,94","5,56","5,93","5,52","5,11","4,71","4,36","4,41","4,30","4,30","5,01","5,21","0,2","0,0"
Japan,"2,46","2,46","2,43","2,42","2,45","2,66","2,71","2,61","2,27","2,30","2,24","2,33","2,32","2,50","2,42","2,49","2,59","2,59","2,54","2,76","2,81","3,18","3,38","4,01","4,99","6,14","7,64","8,42","9,59","1,2","7,3"
Malaysia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,10","0,15","0,18","0,20","0,22","0,26","0,0",-
South Korea,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,02","0,04","0,07","0,11","0,17","0,29","0,36","0,40","0,45","0,70","0,93","1,25","1,50","1,90","2,18","0,3","2,2"
Taiwan,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,04","0,12","0,18","0,25","0,35","0,40","0,56","0,61","0,78","0,79","0,93","0,98","1,27","1,62","0,3","1,6"
Thailand,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,06","0,38","0,81","0,98","1,53","1,95","2,99","3,37","0,4","3,4"
Pacific,"1,16","1,22","1,19","1,23","1,13","1,06","1,04","1,06","1,12","1,21","1,27","1,23","1,28","1,41","1,47","1,79","2,17","2,64","3,08","3,65","4,45","5,29","6,02","6,84","8,19","9,05","9,40","10,04","11,77","1,7","10,5"
Australia,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,02","0,02","0,03","0,05","0,11","0,18","0,35","0,34","0,42","0,78","1,12","1,32","1,61","2,15","2,95","3,70","4,59","5,76","6,56","7,17","8,01","10,15","2,1","10,1"
New Zealand,"6,81","7,07","7,07","7,15","6,59","6,18","6,13","6,30","6,96","7,67","7,92","7,65","7,60","7,37","7,62","9,02","9,38","10,45","12,21","14,82","16,99","18,40","18,90","19,77","22,09","23,39","22,86","22,35","21,94","-0,4","14,0"
Africa,"0,10","0,09","0,08","0,08","0,07","0,11","0,10","0,09","0,10","0,10","0,15","0,20","0,17","0,27","0,34","0,32","0,32","0,36","0,40","0,49","0,60","0,60","0,60","0,77","1,44","1,98","2,28","2,39","2,61","0,2","2,5"
Algeria,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,15","0,38","0,45","0,1",-
Egypt,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,18","0,27","0,23","0,39","0,52","0,51","0,53","0,66","0,70","0,82","1,16","1,11","0,91","0,86","0,97","1,19","1,15","1,18","1,63","0,5","1,5"
Nigeria,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-
South Africa,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,02","0,87","1,95","2,69","2,95","3,19","0,2",-
Middle-East,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,02","0,02","0,05","0,06","0,03","0,05","0,06","0,10","0,15","0,21","0,33","0,39","0,48","0,1","0,5"
Iran,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,03","0,03","0,02","0,02","0,03","0,04","0,06","0,07","0,09","0,10","0,07","0,09","0,08","0,14","0,13","0,08","0,09","0,10","0,17","0,1","0,1"
Kuwait,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
Saudi Arabia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
United Arab Emirates,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,09","0,26","0,23","0,27","0,27","0,44","0,2",-
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Â© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
